area,total_restaurants
Ulsoor,4
Malakpet,4
Tiretti,4
Dhakuria,4
"Humayun Nagar",4
Santoshpur,4
"Govandi East",4
Cossipore,4
"Raja Bazar",4
Choolai,4
Vijayanagar,4
Umarwada,4
"Guru Nanak Nagar",4
Hyderabad,4
Amroli,4
Sangvi,4
Gaddiannaram,4
"Ganga Dham",4
"Park Circus",4
"Wilson Garden",4
Sakivihar,4
Shyamal,4
"Kharkhana & Trimulgherry",4
"Vikhroli West",4
"Kondhwa Budruk",4
"Nava Vadaj",4
"Cox Town",4
Koyambedu,4
Baguiati,4
"Pal Gam",4
"Patel Nagar",4
"Abids & Koti",4
Naroda,4
Katargam,4
"Sanjay Nagar",4
Kalasiguda,3
Nandanam,3
Manicktala,3
"Sector 14 Rohini",3
"College Square",3
Ganganagar,3
Delhi,3
Narhe,3
"Bentinck St.",3
"Old Sangvi",3
"Range Hills",3
Ultadanga,3
"Tingre Nagar",3
Juhapura,3
Washermanpet,3
Vyasarpadi,3
Khanpur,3
Sagrampura,3
Bharthana,3
Ghorpadi,3
"Sanjeeva Reddy Nagar",3
Jamalia,3
Shahpore,3
"Khatodra Wadi",3
"Dahin Nagar",3
Sayedpura,3
"Sudhama Nagar",3
Haripura,3
Guttahalli,3
Begampur,3
Tondiarpet,3
Jorasanko,3
"Jubilee Hills",3
Vatva,3
"Navsari Bazaar",3
"B.B.D. Bagh",3
Bally,3
Jorabagan,3
"Sector 16 Rohini",3
"Koregoan Park",3
Feelkhana,3
"Marol Maroshi Road",3
"Kirti Nagar",3
Juhu,3
"Cunningham Road",3
"R.T. Nagar",3
Vanasthalipuram,3
Kankaria,3
"Majura Gate",3
"Yamuna Nagar",3
"Jashoda Nagar",3
"Pankaj Nagar",3
"Fc Road",2
"Central Markt Punjabi Bagh",2
Kotturpuram,2
"Murad Nagar",2
"Kasba Peth",2
Mangawadi,2
Bowbazar,2
"Central Market Punjabi Bagh",2
"Maniktala Main Rd",2
"Santacruz West",2
Chetla,2
Selimpur,2
Malleswaram,2
Zamistanpur,2
"Bn Reddy Nagar",2
"Benson Town",2
"Sector 2 Rohini",2
"Lal Bazar",2
"Sector 13 Rohini",2
Kalas,2
Danilimda,2
"Salunkhe Vihar",2
"New Mallepally",2
Motera,2
Thaltej,2
Bowenpally,2
Yousufguda,2
Kolathur,2
Khamasa,2
Moghalpura,2
Palanpur,2
"Madannapet Colony",2
"Sector 37",2
Tala,2
Sovabazar,2
"Mahadev Nagar Tekra",2
"Saijpur Bogha",2
"Pathar Gatti",2
"Victoria Layout",2
"Sector 6 Rohini",2
"Sector 1 Rohini",2
Hedua,2
"Sampangiram Nagar",2
"Palanpur Patia",2
Althan,2
Marol,2
Katraj,2
Gowliguda,2
"Asif Nagar",2
Gowlipura,2
Ahiritola,2
Nacharam,2
"Jivraj Park",2
"Brindavan Colony",2
Malkajgiri,2
"New Gayatri Nagar",2
Magdalla,2
"Khar East",2
Chanakyapuri,2
"Tiruvalleeswarar Nagar",2
Nagarathpete,2
"Golconda Fort",2
"Jodhpur Tekra",2
"Sector 29",2
Mandaveli,2
"Sima Nagar",2
"A.S. Rao Nagar & Sainikpuri",2
Kidderpore,2
"Jodhpur Cross Road",2
Vidyanagar,2
Janakpuri,2
Kakurgachi,2
Ghatlodia,2
"Madhavaram - Manali",2
Secunderabad,2
"Brigade Road",2
"Gautam Buddha Nagar",2
"Salunkhe Vihar Road",2
"Lake Market",2
"New Area",2
"Sector 15 Rohini",2
"Raviwar Peth",2
Gudimalkapur,2
"Somwar Peth",2
Navjivan,2
Vikaspuri,2
"Adajan Gam",2
"Athwa Gate",2
Parvati,2
"New Textile Market",2
Salabatpura,2
"Gidc Naroda",2
Uttran,2
Hirabaugh,2
Singanpor,2
"Armane Nagar",2
"Cooke Town",1
"Commercial Street",1
"Chandrapuri Colony",1
Maniktala,1
"Powaiandheri East",1
"Near Rupbani Cinema",1
"Near 7 Point Crossing",1
Jayamahal,1
"Madhura Nagar",1
"Opp Padmashree Movie Hall",1
"Sarat Bose Rd",1
"Near City Centre 1 Petrol Pump",1
"Shyambazar Crossing",1
"Near Gurudas Park",1
Sreebhumi,1
"Sainik Vihar",1
"Krishna Park Tilak Nagar",1
"Mukti Nagar",1
"Behra Enclave Paschim Vihar",1
"Jyothi Nagar",1
"Ruby Area  Kasba  East Kolkata Township",1
"Central Banglore",1
"Karam Pura",1
"Kurla - Mumbai",1
"Broad Street",1
Sarvagnanagar,1
"Sheela Vihar Colony",1
"College Street",1
"Anna Salai",1
"Sastri Nager",1
"Sri Hanuman Nagar Colony",1
Chanchalguda,1
"A Unit Of M/S Cohort  Ruby Area",1
"Salt Lake Area",1
"Jm Road",1
"Subhash Nagar Petrol Pump",1
"Uttam Nagar",1
"Salt Lake City",1
