restaurant,food_type
"Abhis Corner By Samarth Foods","Fast Food,Italian,Chinese"
"Abhishek Non Veg Restaurant","North Indian,Chinese,Seafood"
"Abhishek Veg Restaurant","North Indian,Chinese,Fast Food"
Abid'S,"Arabian,Biryani,Chinese,Grill,Hyderabadi,Indian,North Indian,Tandoor"
"Abids Bistro  Royalton Hotel","Chinese,Kebabs,North Indian,South Indian,Tandoor"
"Absabsolute Barbecues","North Indian,Mughlai,Chinese,Barbecue,Grill,Seafood,Biryani"
"Absabsolute Barbecues","North Indian,Mughlai,Chinese,Biryani"
"Absolute Combos","Andhra,Biryani,Chinese"
"Absolute Thai","Thai,Pan-Asian"
"Abu Baba Pizza Corner","Fast Food,North Indian"
"Abu Faisal Restaurant Arabian Food","Indian,Desserts"
"Abu Shawarmas","Arabian,Lebanese"
Achija,"Fast Food,Snacks"
"Achija Veg Restaurants","North Indian,South Indian,Chinese,Beverages"
"Adda & Biryani","Biryani,North Indian,Combo"
"Adi Sree Hari Mistanna Bhandar","Sweets,Desserts,Combo,Snacks"
Adiga'S,"South Indian,North Indian,Chinese,Thalis,Fast Food,Juices,Desserts"
"Adil Biryani Restaurant","Biryani,Kebabs,Mughlai"
"Aditri Veg Restaurant","Indian,South Indian,Chinese,Juices,Beverages,Tandoor,Maharashtrian"
"Ae-Spice Villa","Indian,Fast Food"
"Aesh Cafe","Continental,Italian,Pizzas,Snacks"
"Afghan Darbar Chinese Corner","Chinese,Biryani"
"Afood Aholic","Chinese,Indian,North Indian"
"Afra Alfaham Grill Corner","Grill,Chinese"
"Afraa Deli-Sector 1","Continental,Fast Food,Italian,Beverages"
"Afraa Lounge","Chinese,Continental,Indian,Combo"
Afresh,"Healthy Food,Salads,Desserts,Beverages"
"Agarwal Cake & Bakery","Bakery,Desserts,Combo,Indian"
"Agarwal'S Kitchen","Combo,Thalis,North Indian,Desserts,Beverages"
"Agarwal'S Street Cafe","American,Fast Food,Italian,Snacks"
"Agarwal'S Vegetarian","Street Food,North Indian,Chinese,South Indian,Fast Food"
"Agatya Thali","Biryani,Hyderabadi"
"Aggarwal Standard Sweets","Sweets,Snacks"
"Aggarwal Sweets","Snacks,Desserts"
"Agra Mithai Ghar And Restaurant","Sweets,Beverages,Chaat,Desserts,Fast Food"
