restaurant,food_type
Bangaliana,"Indian,North Indian"
Bangaliyana,"Bengali,Indian,Chinese"
Bangaliyna,"North Indian,Chinese,Biryani,Bengali"
"Bangalore Iyangar S Bakery","Bakery,Desserts"
"Bangarapet Bhel House","Indian,Snacks,Beverages"
"Bangkok Bae","Asian,Thai"
"Bangla Box By Kasturi","Bengali,Combo"
"Banglar Rannaghar","Bengali,Indian,Chinese"
"Banglore Iyanger Bakery","Bakery,Desserts"
Banjara,"North Indian,Tandoor,Biryani,Chinese,Desserts,Beverages"
Banjara,"Indian,Biryani"
"Banjos The Food Chain","Fast Food,Chinese,Beverages"
"Banke Bihari Restaurant","Street Food,Desserts"
"Bansal Sweet Shop","Sweets,Snacks"
"Bansi Restaurant","Indian,Chinese,Ice Cream,Beverages"
Bansiwala,"North Indian,Snacks,Chinese,Bakery"
"Bar Of Burger","American,Beverages"
"Baraza Bars & Bites","North Indian,Kebabs,Biryani,Chinese,Continental,Fast Food,Mughlai"
"Barbecue By Punjab Grill","North Indian,Indian,Biryani,Punjabi,Kebabs,Mughlai,Desserts"
"Barbecue Chicken","Chinese,Mughlai"
"Barbeque Nation","North Indian,Chinese,Biryani"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Nation","North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs"
"Barbeque Night","Mughlai,Chinese,Tandoor,Seafood"
"Barcenos Pizza","Pizzas,Beverages"
Barista,"Beverages,Snacks,Desserts,Cafe"
Barista,"Beverages,Snacks,Desserts"
Barista,"Beverages,Snacks"
Barista,"Beverages,Snacks,Desserts"
Barometer,"Continental,Asian,Italian,North Indian"
"Basheer Bai Briyani","South Indian,Indian,Biryani"
"Basil With A Twist","Continental,European,Salads,Italian"
"Baskin Robbins","Desserts,Ice Cream"
"Baskin Robbins","Desserts,Ice Cream"
"Baskin Robbins","Desserts,Ice Cream"
"Baskin Robbins","Desserts,Ice Cream"
"Baskin Robbins","Desserts,Ice Cream"
"Baskin Robbins","Ice Cream,Desserts"
"Basmati Express","Biryani,Andhra,Hyderabadi,South Indian,North Indian,Tandoor,Beverages,Desserts"
"Basmati Foods","Biryani,Snacks,Beverages"
"Basmati'S Briyani Nation","Biryani,Andhra,Hyderabadi,South Indian,North Indian,Tandoor,Beverages,Desserts"
Bateel,"Desserts,Fast Food"
Batter,"Desserts,Ice Cream"
Bawarchi,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai"
"Bayleaf - By Good Food Co","Indian,North Indian,Mughlai,Kebabs"
"Bayleaf Otg","North Indian,Bengali,Biryani"
"Bayleaf Otg (On The Go)","North Indian,Bengali,Biryani,Street Food"
"Bayleaf Otg (On The Go)","Bengali,North Indian,Biryani,Street Food"
Bayroute,"Turkish,Mediterranean,Middle Eastern,Lebanese,Arabian"
"Bb Bucket Biryani","Biryani,North Indian,Chinese,Seafood"
"Bbq Bro'S","Barbecue,Snacks,Beverages,Lebanese,Fast Food"
"Be Kebabii","Kebabs,Combo,Biryani,Mughlai,North Indian,Chinese"
"Bean Box Cafe","Beverages,Continental,Desserts"
"Bebe Di Rasoi - Punjabi","North Indian,Punjabi,Biryani,Kebabs,Mughlai,Desserts,Beverages"
"Bedouin - Sher E Bengal","North Indian,Chinese,Bengali"
"Beefy Affair","Tibetan,Italian,Mughlai,Chinese,Kerala"
"Beetbox Health Bar","Healthy Food,Mexican,Lebanese,Desserts"
Behnam,"Biryani,North Indian,Mughlai,Kebabs,Lucknowi,Awadhi"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
"Behrouz Biryani","Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts"
Beijing,"Chinese,Asian,Oriental,Pan-Asian,Thai,Seafood"
"Beijing Bites","Chinese,Asian"
"Beijing Chicken Lollipop","Chinese,Combo,Indian,Fast Food,Beverages"
"Beijing Chicken Lollipops","Chinese,Asian,Beverages"
"Beijing Chicken Lollipops","Chinese,Beverages"
"Belgian Waffle Junction","Ice Cream,Beverages,Snacks"
"Belgian Waffles","Fast Food,Snacks,Desserts"
"Belgians Waffle","Desserts,Beverages"
"Belly Tales","North Indian,Chinese,Combo,Pizzas,Beverages"
"Belly'S Icecreams And Thickshakes","Beverages,Ice Cream"
"Bemisal Dharmender Hotel","North Indian,Chinese"
Benaras,"Chaat,Snacks,Fast Food,Beverages"
"Bengal Dhaba","Indian,Chinese,Biryani,Bengali,Continental"
"Benji'S Darbar","Chinese,North Indian"
"Bera Samosa House","Street Food,Snacks"
Berco'S,"Chinese,Thai,Asian,Beverages,Desserts,Oriental,Seafood,Pan-Asian"
"Berlin Burgers","Fast Food,Seafood"
"Best Belgian Waffle","Desserts,Bakery,Beverages"
"Best Of Gupta'S","Indian,Chinese,Tandoor"
"Best Omlet","Street Food,Snacks"
"Best Western-Yuvraj","Punjabi,Chinese"
"Between Bread","Snacks,Pizzas,Beverages"
"Between Your Buns","Fast Food,Continental,Italian,Combo,Beverages"
"Bff Bombay French Fries","Continental,Desserts,Beverages,Snacks"
"Bhagatram Sweets","Indian,Chinese,North Indian,Snacks"
"Bhagmati Biryani","Biryani,Telangana"
"Bhagvati Dry Fruit Dish Gola","Desserts,Ice Cream"
Bhaijaan'S,"Biryani,North Indian,Chinese"
"Bhaijaan'S Avenue","North Indian,Seafood,Indian"
"Bhairavee Pure Veg. Restaurant","North Indian,Chinese,Thai,Continental"
"Bhakshana By Paati Veedu","South Indian,Indian"
"Bhandari Chakhna","Indian,Fast Food"
"Bhandari Vishwas Tiffin Corner","Thalis,North Indian"
"Bhandaris Tandoor","North Indian,Chinese"
"Bharat Biryani","Biryani,Indian,Combo"
"Bharat Cafe","Indian,Chinese,Beverages"
"Bhartiya Jalpan","North Indian,Fast Food,Punjabi,Beverages,Desserts"
"Bhartiya Jalpan - Sweets Dry Fruit And Savouries","Indian,Sweets"
"Bhayankar Burgers","Fast Food,American,Desserts"
"Bheemavarma'S Biryani","Biryani,Andhra,Chettinad,South Indian,Hyderabadi,Kebabs,Combo"
"Bhimsingh Paties","Fast Food,Snacks,Street Food"
Bhog,"North Indian,Rajasthani,Chaat,Fast Food"
Bhojanam,"Combo,Thalis,Desserts,Indian,Chinese"
Bhojanam,"Combo,Thalis,Desserts,Indian,Chinese"
Bhojnayala,"Punjabi,North Indian,Combo,Thalis"
"Bhoomi Foods","Indian,South Indian,Andhra"
"Bhukha Sher","North Indian,Tandoor,Biryani,Mughlai"
"Bhukkad Ka Nukkad","Indian,Chinese,Snacks"
"Bhullar S Butter Chicken Co.","Indian,Desserts"
"Bhuri Bhoj","North Indian,Chinese"
"Biergarten Brewery & Kitchen","Continental,Pizzas,North Indian,Chinese,Asian,South Indian"
"Big Binge Co","Asian,Mexican,Snacks,Fast Food"
"Big Biriyani Company","Biryani,Mughlai"
"Big Biriyani Company","Biryani,Mughlai"
"Big Bowl Company","North Indian,Chinese,Biryani,Fast Food"
"Big Bowl Company","North Indian,Chinese,Biryani,Fast Food"
"Big Bowl Company","North Indian,Chinese,Biryani,Fast Food"
"Big Daddy'S","Fast Food,American,Italian,Beverages"
"Big Mishra Pedha","Sweets,Chaat,Juices"
"Big Ms","American,Cafe,Fast Food,Beverages,Italian,Mexican"
"Big Sandwich","British,American,Chinese,Beverages"
"Big Shakes","Beverages,Snacks"
Bigbites,"Street Food,Fast Food,Tex-Mex"
"Biggies Burger","Fast Food,Beverages,American"
"Biggies Burger","Indian,Fast Food"
"Biggies Burger","Beverages,French,Indian"
"Biggies Burger 'N' More","Fast Food,American,Attractive Combos Available,Beverages,Combo,Desserts,Snacks"
"Bihar Babu","Punjabi,North Indian,Combo,Thalis"
"Bijoli Grill Foods Corner","Indian,Fast Food,Chinese,Tandoor,Snacks,Biryani"
Bika,"Indian,Chinese,Fast Food,Continental,Street Food,Sweets"
"Bikaner Sweet Corner","North Indian,Desserts,Sweets"
Bikanervala,"North Indian,South Indian,Desserts"
"Bikers Cafe","Italian,Desserts,Continental"
"Bikkgane Biryani","Hyderabadi,South Indian,North Indian,Biryani,Andhra,Mughlai"
"Bikkgane Biryani","Hyderabadi,South Indian,North Indian,Biryani,Andhra,Mughlai"
"Billion Burger","Fast Food,American"
Billy'S,"Indian,American,Italian,Continental"
"Billy'S Brewstirs","Indian,American,Continental"
"Bina'S Fresh Batch Homemade Ice Cream","Desserts,Ice Cream"
"Bindass Food Plaza","Indian,Chinese,Tandoor"
"Bing Bong","Chinese,Thai,Korean,Seafood"
"Binge Baefikar","American,Fast Food,Healthy Food,Indian,Mexican"
"Binge Momos","Chinese,Pan-Asian"
"Bingers Biryani","Biryani,Fast Food"
Bingocakes,"Bakery,Desserts"
Birdy'S,"Desserts,Pastas"
"Biriyani Brothers","Indian,Biryani"
"Biriyani Venuma","Biryani,Indian,Chinese"
Birmies,"Mexican,Chinese,Punjabi,Fast Food"
"Birthday Party Cake Shop","Bakery,Desserts"
"Biryani Badshah","Hyderabadi,South Indian,North Indian,Biryani,Andhra,Mughlai"
"Biryani Blend Family Restaurant","Biryani,Chinese,North Indian"
"Biryani Blues","Biryani,Kebabs,Lucknowi,Hyderabadi"
"Biryani Blues","Biryani,Hyderabadi,Lucknowi,Kebabs,Desserts,Beverages"
"Biryani Bowl","Biryani,North Indian"
"Biryani Bowl","Biryani,Indian"
"Biryani By Kilo","Biryani,Mughlai,Kebabs,North Indian,Hyderabadi,Lucknowi,Andhra,South Indian"
"Biryani By Kilo","Biryani,Hyderabadi,Lucknowi,Kebabs,Mughlai,North Indian,Desserts,Beverages"
"Biryani By Kilo","Biryani,Hyderabadi,Lucknowi,Kebabs"
"Biryani By Kilo","Biryani,Mughlai,Kebabs,North Indian,Hyderabadi,Lucknowi,Andhra,South Indian,Bengali"
"Biryani Canteen","Biryani,Chinese,North Indian,Tandoor"
"Biryani Chaska","Italian,Chinese,Indian,Biryani,Snacks"
"Biryani Chowk","Chinese,Indian"
"Biryani Corner","Biryani,Indian,Chinese,Tandoor"
"Biryani Empire","Indian,Chinese"
"Biryani Hazir Ho","Biryani,Mughlai"
"Biryani Hazir Ho","Biryani,Indian"
"Biryani Kebabs & Co","Biryani,Lebanese,Kebabs"
"Biryani King","Chinese,North Indian"
"Biryani Kingdom","Indian,Biryani,Kebabs"
"Biryani Kitchen & Bengali Sweet","Biryani,Tandoor,Bengali"
"Biryani Q&Q","Indian,Biryani,Chinese,Tandoor,Kebabs"
"Biryani Society","Indian,Biryani,Combo"
"Biryani Stock Exchange","North Indian,Biryani"
"Biryani Tales -By Rayalaseema Ruchulu","Biryani,Kebabs,Hyderabadi,Tandoor"
"Biryani Trip","Biryani,Hyderabadi,Indian"
"Biryani Zaika","Biryani,Chinese,North Indian"
"Biryani Zone","Biryani,Chinese,Indian,Snacks,Arabian,Combo"
Biryanibad,"North Indian,Indian,Biryani"
Biryanikar,"Biryani,Beverages,Ice Cream,Sweets"
"Biryanis And More","Biryani,Chinese,Tandoor"
"Biryanishk By The Biryani Company","Indian,Biryani"
"Biryaniwala & Co - By Singh Saab","North Indian,Biryani,Tandoor"
"Bismi Kebab Corner","Biryani,Indian,Chinese"
"Bismilla Fine Dining","Biryani,Chinese,Indian,Combo,North Indian"
Bismillah,"Ice Cream,Desserts,Juices,Beverages"
Bismillah,"Desserts,Ice Cream,Beverages,Juices"
Bismillah,"Desserts,Beverages,Ice Cream,Juices"
"Bismillah Briyani & Fast Food","Tandoor,Chinese,Biryani,Indian"
"Bismillah Hotel","South Indian,Thalis,Beverages"
"Bismillah Restaurant","Indian,North Indian"
"Bismillah Stores","Fast Food,Pizzas"
"Bistro Bites","Fast Food,Pizzas,American"
"Bistro Mylapore","Chinese,Mexican"
Bistro89,"Indian,Italian,Chinese"
"Bite Cafe","Chinese,Pizzas,Fast Food"
"Bkc Desi Hut","Biryani,North Indian,Chinese,Beverages"
"Black Bird","Fast Food,Pizzas,Beverages"
"Black Rose Falooda And Icecreams","Ice Cream,Desserts"
"Blend N Brew","Indian,Chinese,North Indian,Tandoor,Biryani,Kebabs,Punjabi"
"Blenders & Coolers","Beverages,Juices"
"Blind Ch3Mistry","Italian,Beverages,Asian"
Blossoms,"Chinese,Indian"
"Blr Food Kourt","Biryani,Chinese,North Indian"
"Blue Basil","Continental,North Indian,Chinese"
"Blue Box Biryani","Biryani,North Indian,Beverages,Desserts"
"Blue Nile","Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages"
"Blue Tokai Coffee Roasters","Healthy Food,American,Lebanese,Mediterranean,European,Juices,Middle Eastern"
"Blue Tokai Coffee Roasters","Healthy Food,American,Lebanese,Mediterranean,European,Juices,Middle Eastern"
"Blue Tokai Coffee Roasters","Healthy Food,American,Lebanese,Mediterranean,European,Juices,Middle Eastern"
"Blue Water Grille","North Indian,Chinese,Continental,Fast Food"
Bluefox,"Biryani,North Indian,Chinese,Tandoor"
"Blues - The Food Point","Indian,Mughlai,Chinese,Biryani,Fast Food,Punjabi"
"Bo Tai","Chinese,Pan-Asian,Thai,Oriental"
"Bob'S Bar","South Indian,North Indian,Fast Food,Desserts"
"Bobby Punjabi Rasoi","Indian,Mughlai,Chinese"
"Bohemian Cafe","Continental,Mexican,Chinese"
Bohemians,"Indian,Italian,Chinese,American"
"Bol Baby Bowl","Continental,Indian"
"Bolo Tara Rara","North Indian,Punjabi"
"Bolo Tara Rara","North Indian,Punjabi"
"Bombay A-One Bhatiyara","Biryani,Mughlai"
"Bombay Blue","North Indian,Chinese,Desserts"
"Bombay Burgers","American,Snacks"
"Bombay Grill","Pizzas,Fast Food"
"Bombay Halwa House","North Indian,Punjabi,Sindhi"
"Bombay Juice","Chaat,Chinese,Juices"
"Bombay Kulfi","Ice Cream,Desserts"
"Bombay Kulfi","Desserts,Ice Cream"
"Bombay Kulfis","North Indian,Desserts,Fast Food"
"Bombay Pavbhaji","Snacks,Fast Food"
"Bombay Sandwich Badshah","Snacks,Indian,Pizzas"
"Bombay Waffles","Desserts,Ice Cream"
Bombaysthan,"Pizzas,Desserts"
"Bon Appet-Eat","Snacks,American,Beverages,Desserts"
"Bon Homie","Punjabi,Italian,Mexican,Chinese"
"Bonanza Natural Ice Cream","Ice Cream,Beverages"
"Bong Bong","Pan-Asian,Thai,Chinese,Mughlai,Snacks"
"Bong Sweet & Fast Food","Bengali,Biryani,Tandoor"
"Bonjour Cakes","Bakery,Indian,Desserts,Combo,Sweets"
"Bonophool Restaurant","North Indian,Tandoor,Biryani,Kebabs"
"Boss Burger","American,Continental,Fast Food,Combo"
"Boss Burger","American,Continental,Fast Food,Combo"
"Boss Burger","American,Continental,Fast Food,Combo"
"Boston Breadz","American,Fast Food,Snacks"
"Boteco - Restaurante Brasileiro","South American,Fast Food"
Bouganvilla,"Italian,Mexican,Indian"
"Bowl Mein","Biryani,Indian,Chinese,Bowl Company, Keventers & more"
Bowlout,"Healthy Food,Arabian,Continental,Salads"
"Bowls Kitchen","North Indian,South Indian"
"Bowls Of China (B.O.C)","Chinese,Beverages,Combo,Street Food,Pan-Asian,Tibetan,North Indian,Biryani,Punjabi"
Bowlsome,"Asian,North Indian,Continental,Healthy Food,Punjabi,Home Food,Oriental,Desserts,Beverages,Pan-Asian,Bengali,Mangalorean,Kashmiri,Lucknowi,Chinese,Sweets,Kebabs,Combo,Rajasthani,Awadhi"
Bowlsome,"Asian,North Indian,Continental,Healthy Food,Punjabi,Home Food,Oriental,Desserts,Beverages,Pan-Asian,Bengali,Mangalorean,Kashmiri,Lucknowi,Chinese,Sweets,Kebabs,Combo,Rajasthani,Awadhi"
Bowlsome,"Asian,North Indian,Continental,Healthy Food,Punjabi,Home Food,Oriental,Desserts,Beverages,Pan-Asian,Bengali,Mangalorean,Kashmiri,Lucknowi,Chinese,Sweets,Kebabs,Combo,Rajasthani,Awadhi"
"Bowlss Of Bliss","Ice Cream,Healthy Food,American,Desserts,Beverages,Keto"
"Box It Up","Indian,Bengali,Chinese,Combo,Oriental,Continental,Pizzas,Snacks,Beverages,North Indian,Healthy Food"
Box.72,"Fast Food,Chinese,Indian"
"Box8 - Desi Meals","North Indian,Biryani,Combo,Snacks"
"Box8 - Desi Meals","North Indian,Biryani,Combo,Snacks"
"Box8 - Desi Meals","North Indian,Biryani,Combo,Snacks"
"Box8 - Desi Meals","North Indian,Biryani,Combo,Snacks"
"Box8 - Desi Meals","North Indian,Biryani,Combo,Snacks"
"Br Pizza","Pizzas,Fast Food"
"Brahma Garden","North Indian,South Indian,Chinese,Fast Food,Juices,Biryani,Punjabi"
"Brahmins' Thatte Idli","South Indian,Combo"
Brasserie1935,"North Indian,Chinese,Continental,Pizzas,Salads"
"Bread And Chocolate","Bakery,Desserts,Fast Food,Snacks"
"Bread Bash","Italian,Beverages"
"Bread Boutique By Brew Room","Bakery,Desserts"
"Bread Box Sandesh Press","Fast Food,Indian"
"Bread Meal - Fast Food Corner","Pizzas,Italian-American,Indian,Snacks,Combo,Fast Food"
"Breads And Curries","Bengali,Combo,Thalis,Snacks,Beverages,American,Chinese,Oriental"
"Break The Bread - Sandwiches And Burgers","Continental,Fast Food"
"Breakfast Bee","Chinese,Biryani,Tibetan,Punjabi,American,Desserts,Fast Food,Mexican,Seafood"
"Breakfast Express","Continental,North Indian,South Indian,American,Beverages,British,Cafe,Combo,European,Desserts"
"Breakfast Junction","Punjabi,North Indian"
"Breatato . Co","Snacks,Combo"
"Breatato Co","Street Food,Continental,Combo"
"Brew Coffee","Beverages,Fast Food"
"Brewbakes Cafe Jodhpur Park","American,Cafe,Italian,Mexican"
"Brewers The Coffee Bar","Italian,North Indian,Mexican,Beverages"
"Brick Kitchen - Five Petals","Indian,Chinese,Continental"
"Brijwasi Sweets Original Since 1946","Street Food,Desserts,Sweets"
"Brijwasi Sweets Original Since 1946 - Gd Group","Desserts,Sweets"
"Brik Oven","Pizzas,Italian,Desserts,Beverages"
"Bring It On Cafe","American,Bakery,Italian"
"Bring Me Coffee","Cafe,Fast Food"
"Brista Restaurant","Biryani,North Indian,Beverages,Desserts,Chinese"
"Britalian Kitchen","British,Italian,French"
"Bro Sis Fast Food Corner","Fast Food,Italian"
"Broken Bridge Cafe","Indian,Continental"
"Brother'S Snack","Indian,Chinese,Fast Food"
"Brothers Brand","Indian,Chinese,Continental,North Indian,Biryani,Punjabi,Thalis,Tandoor,Combo,Pastas,Snacks,Beverages,Street Food"
"Brothers Burger","Street Food,Fast Food,Continental"
"Brown Burger Co Jayanagar","Fast Food,Beverages"
"Brown Burger Co.","American,Fast Food,Pizzas,Desserts,Ice Cream,Snacks"
"Brown Burger Co.","American,Fast Food,Beverages,Pizzas,Snacks,Juices,Desserts"
"Brown Munde","Chinese,Italian,Snacks,Fast Food"
"Bs Mysore Dosa","Fast Food,Chinese"
"Btr - Bhatinda Tiffin Room","North Indian,Thalis,Punjabi,Combo"
Btw,"Street Food,North Indian"
"Buddha Bites-Jessore Road","Chinese,Asian,Fast Food,Snacks,Tibetan"
"Buddha Paradise","South Indian,Fast Food,Chinese"
"Buddy Bites","Indian,Kebabs,Combo"
"Budget Bite","Chinese,Snacks,Fast Food"
"Budget Bytes","Chinese,Arabian,Fast Food"
Buhari,"Biryani,North Indian,Chinese,South Indian,Arabian"
"Buhari Vintage Hotel - Kilpauk","Biryani,North Indian,Chinese"
"Bukhara - Biryani Kebabs & Curries","Biryani,Kebabs,North Indian,Tandoor,Combo"
"Bullet Biryani","Biryani,Hyderabadi,Mughlai"
"Bun Kebab","Kebabs,Beverages,Snacks"
Bunwich,"Beverages,Fast Food"
Burgasm,"Fast Food,American"
"Burger 11","American,Fast Food,Keto,Beverages"
"Burger And Beyond","American,Fast Food,Beverages"
"Burger Cafe","American,Beverages,Fast Food"
"Burger Craft","Fast Food,American,Beverages,Desserts"
"Burger Eat'S","Snacks,Biryani,Fast Food"
"Burger Hubs","Desserts,Beverages"
"Burger In Law","American,Fast Food,Beverages"
"Burger It Up","American,Continental,Beverages,Desserts,Fast Food"
"Burger It Up","American,Continental,Beverages,Desserts,Fast Food"
"Burger It Up","American,Continental,Beverages,Desserts"
"Burger It Up","American,Continental,Beverages,Desserts,Fast Food"
"Burger King","American,Fast Food"
"Burger King","American,Fast Food"
"Burger King","American,Fast Food"
"Burger King","American,Fast Food"
"Burger King","American,Fast Food"
"Burger Seigneur","American,Beverages"
"Burger Singh (Big Punjabi Burgers)","Snacks,Fast Food,Indian,American,Beverages,Desserts,Mughlai,North Indian,Biryani,Tibetan,Chinese,Continental"
Burgerama,"American,Fast Food,Snacks,Beverages,Italian-American"
"Burgerhaus Gourmet Burgers","American,Continental,Beverages,Desserts"
Burgerman,"American,Snacks,Continental"
Burgersuncle,"American,Italian,Indian"
"Burgrill - The Win Win Burger","Salads,Fast Food,Desserts,Continental,Beverages,American"
"Burma Burma","Pan-Asian,Burmese"
"Burma Burma","Asian,Burmese"
"Burmese Bowl","Chinese,Beverages,Ice Cream"
"Burmese Cafe","Indian,Chinese,Burmese"
"Burmese Tea House","Snacks,Chinese"
"Burnt Garlic","Continental,Chinese,Italian,American"
"Burritos & Bowls Mexican Kitchen","Mexican,Salads"
"Butter Brews - Koregaon Park","European,Continental"
"Butter Chicken Factory","Indian,Biryani,Tandoor,Desserts,Beverages"
"Butter Delivery","North Indian,Tandoor,Punjabi"
"Butterfly High","Indian,South Indian,Chinese,Continental,Desserts"
"Butterfly Kitchen","Indian,Chinese,Snacks,South Indian,Fast Food"
"By The Bay","Indian,Asian,Italian,European"
"Byepass Dhaba","North Indian,Chinese,Biryani,Tandoor"
"C Sharp Kitchen","Chinese,Continental,Fast Food"
"C Square Chat Cafe","Chaat,Snacks,Fast Food"
"C.F.C Hyderabad Dum Biryani & Fast Food","Biryani,Fast Food"
"C/O. Bangali","Indian,Bengali,Continental"
C4U,"Chinese,Snacks"
"Caafe 360 Degree- Kakurgachi","Italian,Chinese"
"Cad (M) Cad (B)","Beverages,Desserts,Fast Food"
"Cafe 1St Story","Indian,Chinese,North Indian,Biryani,Punjabi,Pan-Asian,Mughlai,Thalis,Asian,Combo"
"Cafe 555 & Aqeeq Restaurant","Biryani,North Indian,Chinese"
"Cafe 9/10","Chinese,Indian,Biryani"
"Cafe Adoniya","Bakery,Fast Food,Desserts"
"Cafe Al Muhsi","Snacks,Pizzas,Beverages"
"Cafe Arabia","Lebanese,Middle Eastern,Mediterranean"
"Cafe Arabica","Italian,Continental,Arabian,Bakery"
"Cafe Ashiana","Fast Food,North Indian,Italian,Beverages"
"Cafe Azzure","American,Italian"
"Cafe Bahar Since 1973","Mughlai,Biryani,Indian,Chinese,Tandoor"
"Cafe Bun Maska","Snacks,Beverages,Chinese"
"Cafe Cakebee","Cafe,Italian,Bakery,Desserts"
"Cafe Central Perk","Cafe,Italian,American"
"Cafe Chef'S Paradise","Italian,Chinese,Continental,Indian"
"Cafe Chokolade","Desserts,Ice Cream"
"Cafe Chow Meow","Street Food,Snacks,Pizzas,South Indian"
"Cafe Clock","Beverages,Ice Cream"
"Cafe Coffee Day","Beverages,Snacks,Desserts"
"Cafe Coffee Day","Beverages,Snacks,Desserts"
"Cafe Coffee Day","Beverages,Snacks,Desserts"
"Cafe Coffee Day","Beverages,Snacks,Desserts"
"Cafe Coffee Day","Beverages,Snacks,Desserts"
"Cafe Coffee Hutt","Fast Food,Pizzas"
"Cafe Delhi Heights","Asian,Continental"
"Cafe Dig In","Continental,Desserts,Beverages"
"Cafe Doraemon","Pizzas,Chinese"
"Cafe Dreamland","Desserts,Fast Food"
"Cafe Durga","South Indian,Fast Food,Beverages"
"Cafe Eastwood","North Indian,Continental"
"Cafe Express","Pastas,Chinese,Waffle"
"Cafe Felix","American,Continental,Desserts,Pizzas,Pastas"
"Cafe Good Day","Fast Food,Beverages"
"Cafe Goodluck","North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery"
"Cafe Graffiti Pizzeria","Fast Food,Italian,Beverages"
"Cafe Grey By Dongle & Co","Beverages,Pizzas,Fast Food,Bakery,Desserts"
"Cafe Heaven","Indian,Chinese,Tandoor,Biryani,Combo"
"Cafe Hideout","Cafe,Fast Food"
"Cafe Imroze","Chinese,Seafood,Continental"
"Cafe India","Snacks,Fast Food,Street Food,Beverages"
"Cafe Jethwa Food Corner","Continental,Beverages"
"Cafe Kathaa","Continental,Healthy Food,Beverages"
"Cafe Koffee Kotha - Quick Bites & Continental","Continental,American,Mexican,Beverages,Desserts"
"Cafe Kokomo","Beverages,Snacks,Desserts,Bakery"
"Cafe Medley","Desserts,American,Continental,Italian,Bakery,Beverages"
"Cafe Mingles","Lebanese,Arabian,Beverages"
"Cafe Momos","Fast Food,Beverages"
"Cafe Mondo","Pizzas,Italian"
"Cafe New Ajwa Marol","North Indian,Mughlai,Chinese,Fast Food,Desserts"
"Cafe Ocean 11","Fast Food,Continental,Italian,Beverages"
"Cafe Offbeat - Up There","Asian,Continental,North Indian,Thai"
"Cafe Old Skool","Desserts,Cafe"
"Cafe Peter Veg","Italian,Continental"
"Cafe Peterdonuts","Continental,Desserts"
"Cafe Quba","Chinese,Indian,North Indian"
"Cafe Reset","Cafe,Indian,Desserts"
"Cafe Sahil","Indian,Thalis,Tandoor,Seafood,Chinese,Biryani"
"Cafe Samosa Corner","Indian,Fast Food,Biryani,Tandoor,Sweets,Beverages,Street Food"
"Cafe Samrat","Indian,Chinese,Biryani,Fast Food,Desserts"
"Cafe Sky","Chinese,Juices"
"Cafe Spice Wave","American,Italian"
"Cafe Stadia","Oriental,Indian,Continental,Italian,Beverages"
"Cafe Sultan","Biryani,Fast Food,Tandoor,Mughlai"
"Cafe Sunlight","Indian,Chinese"
"Cafe Taiba","Indian,Mughlai,Chinese,Biryani"
"Cafe Tom And Jerry","Fast Food,Italian,Continental,Beverages"
"Cafe U N Me","Desserts,Fast Food,Beverages"
"Cafe Udipi","Street Food,North Indian,Chinese,South Indian"
"Cafe Vrindavan","North Indian,Chinese,South Indian"
"Cafe Wth Pune","Beverages,Snacks"
"Cafe Zam Zam","Mughlai,North Indian,Chinese,Fast Food,Biryani"
Cafe+9,"Fast Food,Pizzas,Snacks,Beverages"
Cafestarboy,"Chinese,Indian"
"Cafeteria House","Pizzas,Fast Food,Beverages"
"Caffix The Tech Cafe","Chinese,North Indian,Continental"
"Cake & Co.","South Indian,Biryani,Desserts"
"Cake Adda","Indian,Bakery,Desserts,Combo,Sweets"
"Cake Adda","Bakery,Desserts,Combo,Indian"
"Cake Adda","Bakery,Desserts,Combo,Indian"
"Cake All Time","Bakery,Cafe"
"Cake Bonzerbite","Bakery,Desserts"
