area,avg_price
"Govandi East",350.000000
Raikhad,350.000000
"Koramangala - Bangalore",350.000000
Rander,350.000000
Katraj,350.000000
"Khar East",350.000000
"Himayat Nagar",350.000000
"Ramnas Pura",350.000000
"Pal Gam",350.000000
Halsuru,350.000000
Pcmc,350.000000
"Sainik Vihar Pritampura",350.000000
"Salunkhe Vihar Road",350.000000
"New Area",350.000000
Hatkeshwar,350.000000
Warje,346.428571
Ahmedabad,344.444444
"Prashant Vihar Rohini",342.857143
Jogupalya,342.500000
Paldi,342.000000
"Mohammed Wadi",341.666667
Gopalapuram,341.176471
Banashankari,340.909091
"Annamalai Colony",340.000000
"Sector 3",340.000000
"Shalimar Bagh",338.888889
"Tagore Garden Extension",338.888889
"Langford Gardens",337.500000
Erandwane,336.538462
"New Alipore",335.294118
Beleghata,335.200000
Koti,334.782609
"Victoria Layout",334.500000
"Anand Nagar",333.333333
"Ramesh Nagar",333.333333
"Old Sangvi",333.333333
Vesu,333.333333
"Khatodra Wadi",333.333333
"Sector 16 Rohini",333.333333
Juhu,333.333333
Redhills,333.000000
Kurla,332.519380
"Sadashiv Peth",331.578947
Camp,330.852941
Purasaiwakkam,330.769231
"Shaniwar Peth",330.000000
Dharavi,330.000000
Charminar,329.080000
Habsiguda,328.571429
"Central Kolkata",328.555556
Egmore,328.070175
"Paldi & Ambawadi",328.000000
"South Kolkata",326.538462
Wanowrie,325.862069
Machuabazar,325.000000
Mangawadi,325.000000
"Anna Nagar West Extension",325.000000
"Narayan Peth",325.000000
Surat,325.000000
"Sector V Salt Lake",325.000000
Shantinagar,325.000000
"Somwar Peth",325.000000
"Toli Chowki",323.809524
"Antop Hill",322.000000
Satellite,321.428571
Kothrud,321.201342
"Sector 7 Rohini",321.052632
"Vishnu Garden",320.000000
Garfa,320.000000
Himayatnagar,319.444444
"Wadgaon Sheri",318.750000
"Matunga Wadala",317.400000
Pitampura,316.666667
Kalina,316.666667
Washermanpet,316.666667
"Dahin Nagar",316.666667
Bibwewadi,316.071429
Kilpauk,313.965517
"Rasta Peth",312.500000
Memnagar,312.500000
Malakpet,312.500000
"Wilson Garden",312.500000
Navrangpura,311.856061
Shahpur,311.800000
